T;alpha
757.799;0.162470597975095
757.899;0.162681951661367
757.999;0.162891357387396
758.099;0.163093945252577
758.199;0.163296533117759
758.299;0.163508860784151
758.399;0.163724110390907
758.499;0.163938386017541
758.599;0.164149739703813
758.699;0.164363041350326
758.799;0.164575369016718
758.899;0.164791592603595
758.999;0.165011712110955
759.099;0.165230857638195
759.199;0.165450003165436
759.299;0.165662330831827
759.399;0.165874658498219
759.499;0.166090882085097
759.599;0.166305157711731
759.699;0.166516511398002
759.799;0.166731761004758
759.899;0.166943114691029
759.999;0.167153494397179
760.099;0.167361926143087
760.199;0.167573279829359
760.299;0.167781711575267
760.399;0.167984299440449
760.499;0.168192731186357
760.599;0.168403110892507
760.699;0.168614464578778
760.799;0.168821922344566
760.899;0.169033276030836
760.999;0.169243655736987
761.099;0.169466697184711
761.199;0.169688764652314
761.299;0.169902066298827
761.399;0.170112446004978
761.499;0.170315033870158
761.599;0.17052638755643
761.699;0.170737741242701
761.799;0.170949094928973
761.899;0.171160448615243
761.999;0.171378620162362
762.099;0.17159581772936
762.199;0.17180619743551
762.299;0.172017551121782
762.399;0.172228904808053
762.499;0.172440258494324
762.599;0.172648690240232
762.699;0.172860043926504
762.799;0.173066527712169
762.899;0.173261323736382
762.999;0.173455145780475
763.099;0.173653837725171
763.199;0.173848633749385
763.299;0.174047325694082
763.399;0.174248939579143
763.499;0.174443735603356
763.599;0.174636583667327
763.699;0.174814822029482
763.799;0.174997930292242
763.899;0.175187856415851
763.999;0.175382652440064
764.099;0.17558134438476
764.199;0.175777114389096
764.299;0.175969962453066
764.399;0.176163784497159
764.499;0.176352736640646
764.599;0.17653974082389
764.699;0.17673258888786
764.799;0.176927384912074
764.899;0.177130946757377
764.999;0.177352040244858
